ProductID,ProductName,Category,UnitPrice,StockQuantity,StockStatus
2000,Electronics-Signal,Electronics,969.31,10,In Stock
2001,Electronics-Boost,Electronics,412.35,4,Low Stock
2002,Office-Family,Office,866,22,In Stock
2003,Electronics-Training,Electronics,385.18,26,In Stock
2004,Office-Where,Office,927.25,5,Low Stock
2005,Office-Huge,Office,428.78,2,Low Stock
2006,Office-Class,Office,198,12,In Stock
2007,Clothing-Over,Clothing,583.39,5,Low Stock
2008,Electronics-Skin,Electronics,66.59,8,Low Stock
2009,Office-Raise,Office,66.31,12,In Stock
2010,Electronics-Themselves,Electronics,77.84,0,Out of Stock
2011,Electronics-Religious,Electronics,409.74,1,Low Stock
2012,Clothing-Artist,Clothing,623.19,9,Low Stock
2013,Office-Cultural,Office,935.36,4,Low Stock
2014,Clothing-Eat,Clothing,246.3,0,Out of Stock
2015,Office-Itself,Office,674.97,0,Out of Stock
2016,Home-He,Home,323.02,4,Low Stock
2017,Electronics-Feeling,Electronics,463.7,22,In Stock
2018,Electronics-Nature,Electronics,542.26,16,In Stock
2019,Home-History,Home,933.93,0,Out of Stock
2020,Electronics-Share,Electronics,375.83,0,Out of Stock
2021,Clothing-Skill,Clothing,835.41,10,In Stock
2022,Home-Economy,Home,671.18,11,In Stock
2023,Home-Yeah,Home,939.54,0,Out of Stock
2024,Clothing-Paper,Clothing,124.27,0,Out of Stock
2025,Electronics-Assume,Electronics,279.62,2,Low Stock
2026,Clothing-Use,Clothing,211.56,0,Out of Stock
2027,Home-Purpose,Home,258.61,0,Out of Stock
2028,Electronics-Take,Electronics,637.94,9,Low Stock
2029,Home-Yourself,Home,13.51,0,Out of Stock
2030,Clothing-First,Clothing,169.97,0,Out of Stock
2031,Office-Develop,Office,565.3,17,In Stock
2032,Electronics-There,Electronics,945.6,1,Low Stock
2033,Clothing-Argue,Clothing,836.25,19,In Stock
2034,Clothing-Feel,Clothing,136.17,14,In Stock
2035,Home-According,Home,899.99,0,Out of Stock
2036,Electronics-Candidate,Electronics,217.98,5,Low Stock
2037,Clothing-Meeting,Clothing,360.14,0,Out of Stock
2038,Office-Soon,Office,926.51,0,Out of Stock
2039,Clothing-Need,Clothing,976.44,13,In Stock
2040,Clothing-Determine,Clothing,34.54,13,In Stock
2041,Home-Assume,Home,804.21,0,Out of Stock
2042,Clothing-Lawyer,Clothing,167.61,18,In Stock
2043,Electronics-Practice,Electronics,873.45,0,Out of Stock
2044,Office-Society,Office,207.58,20,In Stock
2045,Office-Next,Office,312.14,25,In Stock
2046,Clothing-Worry,Clothing,33.43,0,Out of Stock
2047,Clothing-Hair,Clothing,334.98,36,In Stock
2048,Electronics-Candidate,Electronics,357.63,26,In Stock
2049,Office-Easy,Office,939.84,0,Out of Stock
2050,Electronics-Young,Electronics,186.78,14,In Stock
2051,Home-Century,Home,117.32,0,Out of Stock
2052,Office-Year,Office,731.26,2,Low Stock
2053,Home-Ground,Home,610.15,5,Low Stock
2054,Electronics-Above,Electronics,900.51,0,Out of Stock
2055,Clothing-Politics,Clothing,53.94,1,Low Stock
2056,Office-About,Office,524.72,0,Out of Stock
2057,Clothing-Identify,Clothing,436.98,2,Low Stock
2058,Home-Wear,Home,666.75,0,Out of Stock
2059,Electronics-Clear,Electronics,512.05,6,Low Stock
2060,Office-Term,Office,408.38,8,Low Stock
2061,Home-Quite,Home,199.92,0,Out of Stock
2062,Office-Receive,Office,619.36,1,Low Stock
2063,Home-Good,Home,552.46,0,Out of Stock
2064,Electronics-Stop,Electronics,294.04,4,Low Stock
2065,Office-Animal,Office,470.34,4,Low Stock
2066,Office-Occur,Office,516.06,0,Out of Stock
2067,Clothing-Remain,Clothing,290.95,8,Low Stock
2068,Home-Read,Home,820.24,13,In Stock
2069,Clothing-Garden,Clothing,232.39,0,Out of Stock
2070,Clothing-About,Clothing,34.18,0,Out of Stock
2071,Clothing-Success,Clothing,615.16,0,Out of Stock
2072,Electronics-Become,Electronics,420.3,0,Out of Stock
2073,Clothing-Executive,Clothing,499.43,15,In Stock
2074,Clothing-Strong,Clothing,659.5,13,In Stock
2075,Electronics-Letter,Electronics,780.64,0,Out of Stock
2076,Clothing-Affect,Clothing,806.07,0,Out of Stock
2077,Office-Ball,Office,561.83,8,Low Stock
2078,Electronics-Film,Electronics,142.01,28,In Stock
2079,Office-Who,Office,950.54,0,Out of Stock
2080,Office-Doctor,Office,832.26,0,Out of Stock
2081,Office-Light,Office,746.22,0,Out of Stock
2082,Office-Figure,Office,266.6,19,In Stock
2083,Clothing-Cut,Clothing,768.16,3,Low Stock
2084,Office-Stuff,Office,281.85,0,Out of Stock
2085,Electronics-Officer,Electronics,242.15,5,Low Stock
2086,Home-Of,Home,894.1,0,Out of Stock
2087,Electronics-Rather,Electronics,159.32,2,Low Stock
2088,Office-Evening,Office,709.35,0,Out of Stock
2089,Electronics-Action,Electronics,413.52,13,In Stock
2090,Office-Staff,Office,71.64,20,In Stock
2091,Office-Mrs,Office,905.79,0,Out of Stock
2092,Electronics-Add,Electronics,482.21,0,Out of Stock
2093,Home-Real,Home,755.94,3,Low Stock
2094,Office-Fight,Office,493.35,8,Low Stock
2095,Home-Seem,Home,490.79,2,Low Stock
2096,Office-Discuss,Office,672.18,0,Out of Stock
2097,Office-Recent,Office,842.1,0,Out of Stock
2098,Clothing-Trouble,Clothing,907.86,0,Out of Stock
2099,Electronics-Several,Electronics,646.32,0,Out of Stock
